instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,casual,registered,cnt
368,1/3/2012,1,1,1,0,2,1,1,89,2147,2236
369,1/4/2012,1,1,1,0,3,1,2,95,2273,2368
370,1/5/2012,1,1,1,0,4,1,1,140,3132,3272
371,1/6/2012,1,1,1,0,5,1,1,307,3791,4098
372,1/7/2012,1,1,1,0,6,0,1,1070,3451,4521
373,1/8/2012,1,1,1,0,0,0,1,599,2826,3425
374,1/9/2012,1,1,1,0,1,1,2,106,2270,2376
375,1/10/2012,1,1,1,0,2,1,1,173,3425,3598
376,1/11/2012,1,1,1,0,3,1,2,92,2085,2177
377,1/12/2012,1,1,1,0,4,1,2,269,3828,4097
378,1/13/2012,1,1,1,0,5,1,1,174,3040,3214
379,1/14/2012,1,1,1,0,6,0,1,333,2160,2493
380,1/15/2012,1,1,1,0,0,0,1,284,2027,2311
381,1/16/2012,1,1,1,1,1,0,1,217,2081,2298
382,1/17/2012,1,1,1,0,2,1,2,127,2808,2935
383,1/18/2012,1,1,1,0,3,1,1,109,3267,3376
384,1/19/2012,1,1,1,0,4,1,1,130,3162,3292
385,1/20/2012,1,1,1,0,5,1,2,115,3048,3163
386,1/21/2012,1,1,1,0,6,0,2,67,1234,1301
387,1/22/2012,1,1,1,0,0,0,2,196,1781,1977
388,1/23/2012,1,1,1,0,1,1,2,145,2287,2432
389,1/24/2012,1,1,1,0,2,1,1,439,3900,4339
390,1/25/2012,1,1,1,0,3,1,1,467,3803,4270
391,1/26/2012,1,1,1,0,4,1,2,244,3831,4075
392,1/27/2012,1,1,1,0,5,1,2,269,3187,3456
393,1/28/2012,1,1,1,0,6,0,1,775,3248,4023
394,1/29/2012,1,1,1,0,0,0,1,558,2685,3243
395,1/30/2012,1,1,1,0,1,1,1,126,3498,3624
396,1/31/2012,1,1,1,0,2,1,1,324,4185,4509
397,2/1/2012,1,1,2,0,3,1,1,304,4275,4579
398,2/2/2012,1,1,2,0,4,1,2,190,3571,3761
399,2/3/2012,1,1,2,0,5,1,1,310,3841,4151
400,2/4/2012,1,1,2,0,6,0,2,384,2448,2832
401,2/5/2012,1,1,2,0,0,0,2,318,2629,2947
402,2/6/2012,1,1,2,0,1,1,1,206,3578,3784
403,2/7/2012,1,1,2,0,2,1,1,199,4176,4375
404,2/8/2012,1,1,2,0,3,1,2,109,2693,2802
405,2/9/2012,1,1,2,0,4,1,1,163,3667,3830
406,2/10/2012,1,1,2,0,5,1,2,227,3604,3831
407,2/11/2012,1,1,2,0,6,0,3,192,1977,2169
408,2/12/2012,1,1,2,0,0,0,1,73,1456,1529
409,2/13/2012,1,1,2,0,1,1,1,94,3328,3422
410,2/14/2012,1,1,2,0,2,1,2,135,3787,3922
411,2/15/2012,1,1,2,0,3,1,1,141,4028,4169
412,2/16/2012,1,1,2,0,4,1,2,74,2931,3005
413,2/17/2012,1,1,2,0,5,1,1,349,3805,4154
414,2/18/2012,1,1,2,0,6,0,1,1435,2883,4318
415,2/19/2012,1,1,2,0,0,0,2,618,2071,2689
416,2/20/2012,1,1,2,1,1,0,1,502,2627,3129
417,2/21/2012,1,1,2,0,2,1,1,163,3614,3777
418,2/22/2012,1,1,2,0,3,1,1,394,4379,4773
419,2/23/2012,1,1,2,0,4,1,1,516,4546,5062
420,2/24/2012,1,1,2,0,5,1,2,246,3241,3487
421,2/25/2012,1,1,2,0,6,0,1,317,2415,2732
422,2/26/2012,1,1,2,0,0,0,1,515,2874,3389
423,2/27/2012,1,1,2,0,1,1,1,253,4069,4322
424,2/28/2012,1,1,2,0,2,1,1,229,4134,4363
425,2/29/2012,1,1,2,0,3,1,2,65,1769,1834
426,3/1/2012,1,1,3,0,4,1,1,325,4665,4990
427,3/2/2012,1,1,3,0,5,1,2,246,2948,3194
428,3/3/2012,1,1,3,0,6,0,2,956,3110,4066
429,3/4/2012,1,1,3,0,0,0,1,710,2713,3423
430,3/5/2012,1,1,3,0,1,1,1,203,3130,3333
431,3/6/2012,1,1,3,0,2,1,1,221,3735,3956
432,3/7/2012,1,1,3,0,3,1,1,432,4484,4916
433,3/8/2012,1,1,3,0,4,1,1,486,4896,5382
434,3/9/2012,1,1,3,0,5,1,2,447,4122,4569
435,3/10/2012,1,1,3,0,6,0,1,968,3150,4118
436,3/11/2012,1,1,3,0,0,0,1,1658,3253,4911
437,3/12/2012,1,1,3,0,1,1,1,838,4460,5298
438,3/13/2012,1,1,3,0,2,1,1,762,5085,5847
439,3/14/2012,1,1,3,0,3,1,1,997,5315,6312
440,3/15/2012,1,1,3,0,4,1,1,1005,5187,6192
441,3/16/2012,1,1,3,0,5,1,2,548,3830,4378
442,3/17/2012,1,1,3,0,6,0,2,3155,4681,7836
443,3/18/2012,1,1,3,0,0,0,2,2207,3685,5892
444,3/19/2012,1,1,3,0,1,1,1,982,5171,6153
445,3/20/2012,1,1,3,0,2,1,1,1051,5042,6093
446,3/21/2012,2,1,3,0,3,1,2,1122,5108,6230
447,3/22/2012,2,1,3,0,4,1,1,1334,5537,6871
448,3/23/2012,2,1,3,0,5,1,2,2469,5893,8362
449,3/24/2012,2,1,3,0,6,0,2,1033,2339,3372
450,3/25/2012,2,1,3,0,0,0,2,1532,3464,4996
451,3/26/2012,2,1,3,0,1,1,1,795,4763,5558
452,3/27/2012,2,1,3,0,2,1,1,531,4571,5102
453,3/28/2012,2,1,3,0,3,1,1,674,5024,5698
454,3/29/2012,2,1,3,0,4,1,1,834,5299,6133
455,3/30/2012,2,1,3,0,5,1,2,796,4663,5459
456,3/31/2012,2,1,3,0,6,0,2,2301,3934,6235
457,4/1/2012,2,1,4,0,0,0,2,2347,3694,6041
458,4/2/2012,2,1,4,0,1,1,1,1208,4728,5936
459,4/3/2012,2,1,4,0,2,1,1,1348,5424,6772
460,4/4/2012,2,1,4,0,3,1,1,1058,5378,6436
461,4/5/2012,2,1,4,0,4,1,1,1192,5265,6457
462,4/6/2012,2,1,4,0,5,1,1,1807,4653,6460
463,4/7/2012,2,1,4,0,6,0,1,3252,3605,6857
464,4/8/2012,2,1,4,0,0,0,1,2230,2939,5169
465,4/9/2012,2,1,4,0,1,1,1,905,4680,5585
466,4/10/2012,2,1,4,0,2,1,1,819,5099,5918
467,4/11/2012,2,1,4,0,3,1,1,482,4380,4862
468,4/12/2012,2,1,4,0,4,1,1,663,4746,5409
469,4/13/2012,2,1,4,0,5,1,1,1252,5146,6398
470,4/14/2012,2,1,4,0,6,0,1,2795,4665,7460
471,4/15/2012,2,1,4,0,0,0,1,2846,4286,7132
472,4/16/2012,2,1,4,1,1,0,1,1198,5172,6370
473,4/17/2012,2,1,4,0,2,1,1,989,5702,6691
474,4/18/2012,2,1,4,0,3,1,2,347,4020,4367
475,4/19/2012,2,1,4,0,4,1,1,846,5719,6565
476,4/20/2012,2,1,4,0,5,1,1,1340,5950,7290
477,4/21/2012,2,1,4,0,6,0,1,2541,4083,6624
478,4/22/2012,2,1,4,0,0,0,3,120,907,1027
479,4/23/2012,2,1,4,0,1,1,2,195,3019,3214
480,4/24/2012,2,1,4,0,2,1,1,518,5115,5633
481,4/25/2012,2,1,4,0,3,1,1,655,5541,6196
482,4/26/2012,2,1,4,0,4,1,2,475,4551,5026
483,4/27/2012,2,1,4,0,5,1,1,1014,5219,6233
484,4/28/2012,2,1,4,0,6,0,2,1120,3100,4220
485,4/29/2012,2,1,4,0,0,0,1,2229,4075,6304
486,4/30/2012,2,1,4,0,1,1,2,665,4907,5572
487,5/1/2012,2,1,5,0,2,1,2,653,5087,5740
488,5/2/2012,2,1,5,0,3,1,1,667,5502,6169
489,5/3/2012,2,1,5,0,4,1,2,764,5657,6421
490,5/4/2012,2,1,5,0,5,1,1,1069,5227,6296
491,5/5/2012,2,1,5,0,6,0,2,2496,4387,6883
492,5/6/2012,2,1,5,0,0,0,2,2135,4224,6359
493,5/7/2012,2,1,5,0,1,1,2,1008,5265,6273
494,5/8/2012,2,1,5,0,2,1,2,738,4990,5728
495,5/9/2012,2,1,5,0,3,1,2,620,4097,4717
496,5/10/2012,2,1,5,0,4,1,1,1026,5546,6572
497,5/11/2012,2,1,5,0,5,1,1,1319,5711,7030
498,5/12/2012,2,1,5,0,6,0,1,2622,4807,7429
499,5/13/2012,2,1,5,0,0,0,1,2172,3946,6118
500,5/14/2012,2,1,5,0,1,1,2,342,2501,2843
501,5/15/2012,2,1,5,0,2,1,2,625,4490,5115
502,5/16/2012,2,1,5,0,3,1,1,991,6433,7424
503,5/17/2012,2,1,5,0,4,1,1,1242,6142,7384
504,5/18/2012,2,1,5,0,5,1,1,1521,6118,7639
505,5/19/2012,2,1,5,0,6,0,1,3410,4884,8294
506,5/20/2012,2,1,5,0,0,0,1,2704,4425,7129
507,5/21/2012,2,1,5,0,1,1,2,630,3729,4359
508,5/22/2012,2,1,5,0,2,1,2,819,5254,6073
509,5/23/2012,2,1,5,0,3,1,2,766,4494,5260
510,5/24/2012,2,1,5,0,4,1,1,1059,5711,6770
511,5/25/2012,2,1,5,0,5,1,1,1417,5317,6734
512,5/26/2012,2,1,5,0,6,0,1,2855,3681,6536
513,5/27/2012,2,1,5,0,0,0,1,3283,3308,6591
514,5/28/2012,2,1,5,1,1,0,1,2557,3486,6043
515,5/29/2012,2,1,5,0,2,1,1,880,4863,5743
516,5/30/2012,2,1,5,0,3,1,2,745,6110,6855
517,5/31/2012,2,1,5,0,4,1,1,1100,6238,7338
518,6/1/2012,2,1,6,0,5,1,2,533,3594,4127
519,6/2/2012,2,1,6,0,6,0,1,2795,5325,8120
520,6/3/2012,2,1,6,0,0,0,1,2494,5147,7641
521,6/4/2012,2,1,6,0,1,1,1,1071,5927,6998
522,6/5/2012,2,1,6,0,2,1,2,968,6033,7001
523,6/6/2012,2,1,6,0,3,1,1,1027,6028,7055
524,6/7/2012,2,1,6,0,4,1,1,1038,6456,7494
525,6/8/2012,2,1,6,0,5,1,1,1488,6248,7736
526,6/9/2012,2,1,6,0,6,0,1,2708,4790,7498
527,6/10/2012,2,1,6,0,0,0,1,2224,4374,6598
528,6/11/2012,2,1,6,0,1,1,2,1017,5647,6664
529,6/12/2012,2,1,6,0,2,1,2,477,4495,4972
530,6/13/2012,2,1,6,0,3,1,1,1173,6248,7421
531,6/14/2012,2,1,6,0,4,1,1,1180,6183,7363
532,6/15/2012,2,1,6,0,5,1,1,1563,6102,7665
533,6/16/2012,2,1,6,0,6,0,1,2963,4739,7702
534,6/17/2012,2,1,6,0,0,0,1,2634,4344,6978
535,6/18/2012,2,1,6,0,1,1,2,653,4446,5099
536,6/19/2012,2,1,6,0,2,1,1,968,5857,6825
537,6/20/2012,2,1,6,0,3,1,1,872,5339,6211
538,6/21/2012,3,1,6,0,4,1,1,778,5127,5905
539,6/22/2012,3,1,6,0,5,1,1,964,4859,5823
540,6/23/2012,3,1,6,0,6,0,1,2657,4801,7458
541,6/24/2012,3,1,6,0,0,0,1,2551,4340,6891
542,6/25/2012,3,1,6,0,1,1,1,1139,5640,6779
543,6/26/2012,3,1,6,0,2,1,1,1077,6365,7442
544,6/27/2012,3,1,6,0,3,1,1,1077,6258,7335
545,6/28/2012,3,1,6,0,4,1,1,921,5958,6879
546,6/29/2012,3,1,6,0,5,1,1,829,4634,5463
547,6/30/2012,3,1,6,0,6,0,1,1455,4232,5687
548,7/1/2012,3,1,7,0,0,0,1,1421,4110,5531
549,7/2/2012,3,1,7,0,1,1,1,904,5323,6227
550,7/3/2012,3,1,7,0,2,1,1,1052,5608,6660
551,7/4/2012,3,1,7,1,3,0,1,2562,4841,7403
552,7/5/2012,3,1,7,0,4,1,1,1405,4836,6241
553,7/6/2012,3,1,7,0,5,1,1,1366,4841,6207
554,7/7/2012,3,1,7,0,6,0,1,1448,3392,4840
555,7/8/2012,3,1,7,0,0,0,1,1203,3469,4672
556,7/9/2012,3,1,7,0,1,1,2,998,5571,6569
557,7/10/2012,3,1,7,0,2,1,2,954,5336,6290
558,7/11/2012,3,1,7,0,3,1,1,975,6289,7264
559,7/12/2012,3,1,7,0,4,1,1,1032,6414,7446
560,7/13/2012,3,1,7,0,5,1,2,1511,5988,7499
561,7/14/2012,3,1,7,0,6,0,2,2355,4614,6969
562,7/15/2012,3,1,7,0,0,0,1,1920,4111,6031
563,7/16/2012,3,1,7,0,1,1,1,1088,5742,6830
564,7/17/2012,3,1,7,0,2,1,1,921,5865,6786
565,7/18/2012,3,1,7,0,3,1,1,799,4914,5713
566,7/19/2012,3,1,7,0,4,1,1,888,5703,6591
567,7/20/2012,3,1,7,0,5,1,2,747,5123,5870
568,7/21/2012,3,1,7,0,6,0,3,1264,3195,4459
569,7/22/2012,3,1,7,0,0,0,2,2544,4866,7410
570,7/23/2012,3,1,7,0,1,1,1,1135,5831,6966
571,7/24/2012,3,1,7,0,2,1,1,1140,6452,7592
572,7/25/2012,3,1,7,0,3,1,1,1383,6790,8173
573,7/26/2012,3,1,7,0,4,1,1,1036,5825,6861
574,7/27/2012,3,1,7,0,5,1,1,1259,5645,6904
575,7/28/2012,3,1,7,0,6,0,1,2234,4451,6685
576,7/29/2012,3,1,7,0,0,0,1,2153,4444,6597
577,7/30/2012,3,1,7,0,1,1,1,1040,6065,7105
578,7/31/2012,3,1,7,0,2,1,1,968,6248,7216
579,8/1/2012,3,1,8,0,3,1,1,1074,6506,7580
580,8/2/2012,3,1,8,0,4,1,1,983,6278,7261
581,8/3/2012,3,1,8,0,5,1,2,1328,5847,7175
582,8/4/2012,3,1,8,0,6,0,1,2345,4479,6824
583,8/5/2012,3,1,8,0,0,0,1,1707,3757,5464
584,8/6/2012,3,1,8,0,1,1,2,1233,5780,7013
585,8/7/2012,3,1,8,0,2,1,2,1278,5995,7273
586,8/8/2012,3,1,8,0,3,1,2,1263,6271,7534
587,8/9/2012,3,1,8,0,4,1,1,1196,6090,7286
588,8/10/2012,3,1,8,0,5,1,2,1065,4721,5786
589,8/11/2012,3,1,8,0,6,0,2,2247,4052,6299
590,8/12/2012,3,1,8,0,0,0,1,2182,4362,6544
591,8/13/2012,3,1,8,0,1,1,1,1207,5676,6883
592,8/14/2012,3,1,8,0,2,1,1,1128,5656,6784
593,8/15/2012,3,1,8,0,3,1,1,1198,6149,7347
594,8/16/2012,3,1,8,0,4,1,1,1338,6267,7605
595,8/17/2012,3,1,8,0,5,1,1,1483,5665,7148
596,8/18/2012,3,1,8,0,6,0,1,2827,5038,7865
597,8/19/2012,3,1,8,0,0,0,2,1208,3341,4549
598,8/20/2012,3,1,8,0,1,1,2,1026,5504,6530
599,8/21/2012,3,1,8,0,2,1,1,1081,5925,7006
600,8/22/2012,3,1,8,0,3,1,1,1094,6281,7375
601,8/23/2012,3,1,8,0,4,1,1,1363,6402,7765
602,8/24/2012,3,1,8,0,5,1,2,1325,6257,7582
603,8/25/2012,3,1,8,0,6,0,2,1829,4224,6053
604,8/26/2012,3,1,8,0,0,0,2,1483,3772,5255
605,8/27/2012,3,1,8,0,1,1,1,989,5928,6917
606,8/28/2012,3,1,8,0,2,1,1,935,6105,7040
607,8/29/2012,3,1,8,0,3,1,1,1177,6520,7697
608,8/30/2012,3,1,8,0,4,1,1,1172,6541,7713
609,8/31/2012,3,1,8,0,5,1,1,1433,5917,7350
610,9/1/2012,3,1,9,0,6,0,2,2352,3788,6140
611,9/2/2012,3,1,9,0,0,0,2,2613,3197,5810
612,9/3/2012,3,1,9,1,1,0,1,1965,4069,6034
613,9/4/2012,3,1,9,0,2,1,1,867,5997,6864
614,9/5/2012,3,1,9,0,3,1,1,832,6280,7112
615,9/6/2012,3,1,9,0,4,1,2,611,5592,6203
616,9/7/2012,3,1,9,0,5,1,1,1045,6459,7504
617,9/8/2012,3,1,9,0,6,0,2,1557,4419,5976
618,9/9/2012,3,1,9,0,0,0,1,2570,5657,8227
619,9/10/2012,3,1,9,0,1,1,1,1118,6407,7525
620,9/11/2012,3,1,9,0,2,1,1,1070,6697,7767
621,9/12/2012,3,1,9,0,3,1,1,1050,6820,7870
622,9/13/2012,3,1,9,0,4,1,1,1054,6750,7804
623,9/14/2012,3,1,9,0,5,1,1,1379,6630,8009
624,9/15/2012,3,1,9,0,6,0,1,3160,5554,8714
625,9/16/2012,3,1,9,0,0,0,1,2166,5167,7333
626,9/17/2012,3,1,9,0,1,1,2,1022,5847,6869
627,9/18/2012,3,1,9,0,2,1,2,371,3702,4073
628,9/19/2012,3,1,9,0,3,1,1,788,6803,7591
629,9/20/2012,3,1,9,0,4,1,1,939,6781,7720
630,9/21/2012,3,1,9,0,5,1,1,1250,6917,8167
631,9/22/2012,3,1,9,0,6,0,1,2512,5883,8395
632,9/23/2012,4,1,9,0,0,0,1,2454,5453,7907
633,9/24/2012,4,1,9,0,1,1,1,1001,6435,7436
634,9/25/2012,4,1,9,0,2,1,1,845,6693,7538
635,9/26/2012,4,1,9,0,3,1,1,787,6946,7733
636,9/27/2012,4,1,9,0,4,1,2,751,6642,7393
637,9/28/2012,4,1,9,0,5,1,2,1045,6370,7415
638,9/29/2012,4,1,9,0,6,0,1,2589,5966,8555
639,9/30/2012,4,1,9,0,0,0,1,2015,4874,6889
640,10/1/2012,4,1,10,0,1,1,2,763,6015,6778
641,10/2/2012,4,1,10,0,2,1,3,315,4324,4639
642,10/3/2012,4,1,10,0,3,1,2,728,6844,7572
643,10/4/2012,4,1,10,0,4,1,2,891,6437,7328
644,10/5/2012,4,1,10,0,5,1,1,1516,6640,8156
645,10/6/2012,4,1,10,0,6,0,1,3031,4934,7965
646,10/7/2012,4,1,10,0,0,0,2,781,2729,3510
647,10/8/2012,4,1,10,1,1,0,2,874,4604,5478
648,10/9/2012,4,1,10,0,2,1,2,601,5791,6392
649,10/10/2012,4,1,10,0,3,1,1,780,6911,7691
650,10/11/2012,4,1,10,0,4,1,1,834,6736,7570
651,10/12/2012,4,1,10,0,5,1,1,1060,6222,7282
652,10/13/2012,4,1,10,0,6,0,1,2252,4857,7109
653,10/14/2012,4,1,10,0,0,0,1,2080,4559,6639
654,10/15/2012,4,1,10,0,1,1,2,760,5115,5875
655,10/16/2012,4,1,10,0,2,1,1,922,6612,7534
656,10/17/2012,4,1,10,0,3,1,1,979,6482,7461
657,10/18/2012,4,1,10,0,4,1,2,1008,6501,7509
658,10/19/2012,4,1,10,0,5,1,2,753,4671,5424
659,10/20/2012,4,1,10,0,6,0,1,2806,5284,8090
660,10/21/2012,4,1,10,0,0,0,1,2132,4692,6824
661,10/22/2012,4,1,10,0,1,1,1,830,6228,7058
662,10/23/2012,4,1,10,0,2,1,1,841,6625,7466
663,10/24/2012,4,1,10,0,3,1,1,795,6898,7693
664,10/25/2012,4,1,10,0,4,1,2,875,6484,7359
665,10/26/2012,4,1,10,0,5,1,2,1182,6262,7444
666,10/27/2012,4,1,10,0,6,0,2,2643,5209,7852
667,10/28/2012,4,1,10,0,0,0,2,998,3461,4459
668,10/29/2012,4,1,10,0,1,1,3,2,20,22
669,10/30/2012,4,1,10,0,2,1,2,87,1009,1096
670,10/31/2012,4,1,10,0,3,1,2,419,5147,5566
671,11/1/2012,4,1,11,0,4,1,2,466,5520,5986
672,11/2/2012,4,1,11,0,5,1,1,618,5229,5847
673,11/3/2012,4,1,11,0,6,0,2,1029,4109,5138
674,11/4/2012,4,1,11,0,0,0,1,1201,3906,5107
675,11/5/2012,4,1,11,0,1,1,1,378,4881,5259
676,11/6/2012,4,1,11,0,2,1,1,466,5220,5686
677,11/7/2012,4,1,11,0,3,1,2,326,4709,5035
678,11/8/2012,4,1,11,0,4,1,1,340,4975,5315
679,11/9/2012,4,1,11,0,5,1,1,709,5283,5992
680,11/10/2012,4,1,11,0,6,0,1,2090,4446,6536
681,11/11/2012,4,1,11,0,0,0,1,2290,4562,6852
682,11/12/2012,4,1,11,1,1,0,1,1097,5172,6269
683,11/13/2012,4,1,11,0,2,1,2,327,3767,4094
684,11/14/2012,4,1,11,0,3,1,1,373,5122,5495
685,11/15/2012,4,1,11,0,4,1,2,320,5125,5445
686,11/16/2012,4,1,11,0,5,1,1,484,5214,5698
687,11/17/2012,4,1,11,0,6,0,1,1313,4316,5629
688,11/18/2012,4,1,11,0,0,0,1,922,3747,4669
689,11/19/2012,4,1,11,0,1,1,2,449,5050,5499
690,11/20/2012,4,1,11,0,2,1,2,534,5100,5634
691,11/21/2012,4,1,11,0,3,1,1,615,4531,5146
692,11/22/2012,4,1,11,1,4,0,1,955,1470,2425
693,11/23/2012,4,1,11,0,5,1,1,1603,2307,3910
694,11/24/2012,4,1,11,0,6,0,1,532,1745,2277
695,11/25/2012,4,1,11,0,0,0,1,309,2115,2424
696,11/26/2012,4,1,11,0,1,1,1,337,4750,5087
697,11/27/2012,4,1,11,0,2,1,2,123,3836,3959
698,11/28/2012,4,1,11,0,3,1,1,198,5062,5260
699,11/29/2012,4,1,11,0,4,1,1,243,5080,5323
700,11/30/2012,4,1,11,0,5,1,1,362,5306,5668
701,12/1/2012,4,1,12,0,6,0,2,951,4240,5191
702,12/2/2012,4,1,12,0,0,0,2,892,3757,4649
703,12/3/2012,4,1,12,0,1,1,1,555,5679,6234
704,12/4/2012,4,1,12,0,2,1,1,551,6055,6606
705,12/5/2012,4,1,12,0,3,1,1,331,5398,5729
706,12/6/2012,4,1,12,0,4,1,1,340,5035,5375
707,12/7/2012,4,1,12,0,5,1,2,349,4659,5008
708,12/8/2012,4,1,12,0,6,0,2,1153,4429,5582
709,12/9/2012,4,1,12,0,0,0,2,441,2787,3228
710,12/10/2012,4,1,12,0,1,1,2,329,4841,5170
711,12/11/2012,4,1,12,0,2,1,2,282,5219,5501
712,12/12/2012,4,1,12,0,3,1,2,310,5009,5319
713,12/13/2012,4,1,12,0,4,1,1,425,5107,5532
714,12/14/2012,4,1,12,0,5,1,1,429,5182,5611
715,12/15/2012,4,1,12,0,6,0,1,767,4280,5047
716,12/16/2012,4,1,12,0,0,0,2,538,3248,3786
717,12/17/2012,4,1,12,0,1,1,2,212,4373,4585
718,12/18/2012,4,1,12,0,2,1,1,433,5124,5557
719,12/19/2012,4,1,12,0,3,1,1,333,4934,5267
720,12/20/2012,4,1,12,0,4,1,2,314,3814,4128
721,12/21/2012,1,1,12,0,5,1,2,221,3402,3623
722,12/22/2012,1,1,12,0,6,0,1,205,1544,1749
723,12/23/2012,1,1,12,0,0,0,1,408,1379,1787
724,12/24/2012,1,1,12,0,1,1,2,174,746,920
725,12/25/2012,1,1,12,1,2,0,2,440,573,1013
726,12/26/2012,1,1,12,0,3,1,3,9,432,441
727,12/27/2012,1,1,12,0,4,1,2,247,1867,2114
728,12/28/2012,1,1,12,0,5,1,2,644,2451,3095
729,12/29/2012,1,1,12,0,6,0,2,159,1182,1341
730,12/30/2012,1,1,12,0,0,0,1,364,1432,1796
731,12/31/2012,1,1,12,0,1,1,2,439,2290,2729
